Date : 2025-05-31 19:38:45
Directory : c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland
Total : 70 files,  3387 codes, 274 comments, 365 blanks, all 4026 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                               | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\README.md                                                     | Markdown   |         10 |          0 |          7 |         17 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\analysis_options.yaml                                         | YAML       |          3 |         22 |          4 |         29 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\android\app\src\debug\AndroidManifest.xml                     | XML        |          3 |          4 |          1 |          8 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\android\app\src\main\AndroidManifest.xml                      | XML        |         37 |         11 |          3 |         51 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\android\app\src\main\res\drawable-v21\launch_background.xml   | XML        |          4 |          7 |          2 |         13 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\android\app\src\main\res\drawable\launch_background.xml       | XML        |          4 |          7 |          2 |         13 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\android\app\src\main\res\values-night\styles.xml              | XML        |          9 |          9 |          1 |         19 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\android\app\src\main\res\values\styles.xml                    | XML        |          9 |          9 |          1 |         19 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\android\app\src\profile\AndroidManifest.xml                   | XML        |          3 |          4 |          1 |          8 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\android\gradle.properties                                     | Properties |          3 |          0 |          1 |          4 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\android\gradle\wrapper\gradle-wrapper.properties              | Properties |          5 |          0 |          1 |          6 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\assets\animations\dog1.json                                   | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\assets\animations\load1.json                                  | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\assets\animations\loading1.json                               | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\assets\animations\loading2.json                               | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\assets\animations\paws1.json                                  | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\assets\animations\pet1.json                                   | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\assets\animations\pet2.json                                   | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\assets\animations\pet3.json                                   | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\devtools_options.yaml                                         | YAML       |          3 |          0 |          1 |          4 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\ios\RunnerTests\RunnerTests.swift                             | Swift      |          7 |          2 |          4 |         13 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\ios\Runner\AppDelegate.swift                                  | Swift      |         12 |          0 |          2 |         14 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON       |        122 |          0 |          1 |        123 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown   |          3 |          0 |          2 |          5 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML        |         36 |          1 |          1 |         38 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\ios\Runner\Base.lproj\Main.storyboard                         | XML        |         25 |          1 |          1 |         27 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\ios\Runner\Runner-Bridging-Header.h                           | C++        |          1 |          0 |          1 |          2 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\main.dart                                                 | Dart       |         39 |          1 |          3 |         43 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\models\mascota_model.dart                                 | Dart       |         63 |          0 |          5 |         68 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\models\propietario_model.dart                             | Dart       |         35 |          0 |          5 |         40 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\models\usuario_model.dart                                 | Dart       |         58 |          7 |          4 |         69 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\routes\app_rutas.dart                                     | Dart       |         32 |          0 |          3 |         35 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\services\auth_service.dart                                | Dart       |         39 |          8 |          6 |         53 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\services\mascota_service.dart                             | Dart       |         42 |          5 |         12 |         59 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\services\propietario_service.dart                         | Dart       |         22 |          2 |          6 |         30 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\services\usuario_service.dart                             | Dart       |        120 |         18 |         20 |        158 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\viewmodels\auth_viewmodel.dart                            | Dart       |         67 |         33 |         22 |        122 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\viewmodels\mascota_viewmodel.dart                         | Dart       |         52 |          4 |         13 |         69 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\viewmodels\propietario_viewmodel.dart                     | Dart       |         57 |          2 |         10 |         69 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\viewmodels\usuario_viewmodel.dart                         | Dart       |         87 |          6 |         15 |        108 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\views\admin\admin_page.dart                               | Dart       |         51 |          0 |          8 |         59 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\views\admin\ajustes_page.dart                             | Dart       |         92 |          5 |          6 |        103 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\views\admin\editar_usuario_page.dart                      | Dart       |        150 |          1 |         12 |        163 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\views\admin\lista_pacientes.dart                          | Dart       |        123 |          1 |          7 |        131 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\views\admin\menu_page.dart                                | Dart       |         76 |          1 |          4 |         81 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\views\admin\registro_paciente.dart                        | Dart       |        231 |          2 |         25 |        258 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\views\admin\usuarios_page.dart                            | Dart       |        141 |          1 |         10 |        152 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\views\auth\login_page.dart                                | Dart       |        254 |          3 |         11 |        268 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\views\auth\registro_page.dart                             | Dart       |        273 |          3 |         12 |        288 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\views\recepcionista\recepcionista_page.dart               | Dart       |         14 |          0 |          3 |         17 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\views\splash\splash_page.dart                             | Dart       |         71 |          6 |         12 |         89 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\views\veterinario\veterinario_page.dart                   | Dart       |         14 |          0 |          3 |         17 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\views\welcome\welcome_page.dart                           | Dart       |        157 |          8 |          7 |        172 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\widgets\boton.dart                                        | Dart       |         63 |          0 |          3 |         66 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\widgets\botonQR.dart                                      | Dart       |         39 |          0 |          4 |         43 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\widgets\boton_icono.dart                                  | Dart       |         51 |          2 |          4 |         57 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\widgets\campo_text.dart                                   | Dart       |         48 |          1 |          4 |         53 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\widgets\cardBoton.dart                                    | Dart       |         86 |          0 |          9 |         95 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\widgets\container_widget.dart                             | Dart       |         38 |          0 |          5 |         43 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\widgets\dropdown.dart                                     | Dart       |         65 |          0 |          4 |         69 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\widgets\encabezado_circular.dart                          | Dart       |         43 |          1 |          4 |         48 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\widgets\fondo.dart                                        | Dart       |         29 |          1 |          4 |         34 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\widgets\navbar.dart                                       | Dart       |         63 |          0 |          9 |         72 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\widgets\pantallaCarga.dart                                | Dart       |         24 |          0 |          3 |         27 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\widgets\texto_link copy.dart                              | Dart       |         35 |          0 |          5 |         40 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\widgets\texto_link.dart                                   | Dart       |         35 |          0 |          5 |         40 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\pubspec.yaml                                                  | YAML       |         24 |         60 |         14 |         98 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\web\index.html                                                | HTML       |         19 |         15 |          5 |         39 |
| c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\web\manifest.json                                             | JSON       |         35 |          0 |          1 |         36 |
| Total                                                                                                                                  |            |      3,387 |        274 |        365 |      4,026 |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
